 Table written by www.YASARA.org, no header provided
 -1912.054872100000          1          1         No      xaaaa
 -1912.054870790000          1          2         No      xaaab
 -1912.054871650000          1          3         No      xaaac
 -1912.054872000000          1          4         No      xaaad
 -1912.054871250000          1          5         No      xaaae
 -1912.054872090000          1          6         No      xaaaf
 -1912.054872120000          1          7         No      xaaag
 -1912.054872120000          1          8         No      xaaah
 -1912.054872130000          1          9        Yes      xaaai
 -1912.054868780000          2          1         No      xaaaj
 -1912.054866020000          2          2         No      xaaak
 -1912.054865510000          2          3         No      xaaal
 -1912.054871350000          2          4         No      xaaam
 -1912.054871550000          2          5         No      xaaan
 -1912.054871590000          2          6         No      xaaao
 -1912.054871620000          2          7         No      xaaap
 -1912.054871640000          2          8        Yes      xaaaq
 -1912.054867500000          3          1         No      xaaar
 -1912.054870440000          3          2         No      xaaas
 -1912.054870450000          3          3        Yes      xaaat
 -1912.054865580000          4          1         No      xaaau
 -1912.054868600000          4          2         No      xaaav
 -1912.054868620000          4          3         No      xaaaw
 -1912.054868630000          4          4         No      xaaax
 -1912.054868650000          4          5         No      xaaay
 -1912.054868670000          4          6         No      xaaaz
 -1912.054868660000          4          7         No      xaaba
 -1912.054868680000          4          8        Yes      xaabb
 -1912.054863120000          5          1         No      xaabc
 -1912.054866190000          5          2         No      xaabd
 -1912.054866230000          5          3         No      xaabe
 -1912.054866260000          5          4        Yes      xaabf
 -1912.054860100000          6          1         No      xaabg
 -1912.054863270000          6          2         No      xaabh
 -1912.054863270000          6          3        Yes      xaabi
 -1912.054856450000          7          1         No      xaabj
 -1912.054859690000          7          2        Yes      xaabk
 -1912.054852260000          8          1         No      xaabl
 -1912.054855550000          8          2         No      xaabm
 -1912.054855540000          8          3         No      xaabn
 -1912.054855540000          8          4         No      xaabo
 -1912.054855520000          8          5        Yes      xaabp
 -1912.054847550000          9          1         No      xaabq
 -1912.054850840000          9          2         No      xaabr
 -1912.054850870000          9          3        Yes      xaabs
 -1912.054842380000         10          1         No      xaabt
 -1912.054845740000         10          2         No      xaabu
 -1912.054845750000         10          3         No      xaabv
 -1912.054845750000         10          4        Yes      xaabw
 -1912.054836830000         11          1         No      xaabx
 -1912.054840210000         11          2         No      xaaby
 -1912.054840230000         11          3        Yes      xaabz
 -1912.054830890000         12          1         No      xaaca
 -1912.054834350000         12          2         No      xaacb
 -1912.054834350000         12          3        Yes      xaacc
 -1912.054824690000         13          1         No      xaacd
 -1912.054828130000         13          2         No      xaace
 -1912.054828150000         13          3        Yes      xaacf
 -1912.054818130000         14          1         No      xaacg
 -1912.054821620000         14          2         No      xaach
 -1912.054821640000         14          3        Yes      xaaci
 -1912.054811350000         15          1         No      xaacj
 -1912.054814780000         15          2         No      xaack
 -1912.054814800000         15          3        Yes      xaacl
 -1912.054804190000         16          1         No      xaacm
 -1912.054807590000         16          2         No      xaacn
 -1912.054807610000         16          3         No      xaaco
 -1912.054807620000         16          4        Yes      xaacp
 -1912.054796770000         17          1         No      xaacq
 -1912.054800030000         17          2         No      xaacr
 -1912.054800050000         17          3         No      xaacs
 -1912.054800060000         17          4        Yes      xaact
 -1912.054788850000         18          1         No      xaacu
 -1912.054791990000         18          2         No      xaacv
 -1912.054792020000         18          3        Yes      xaacw
 -1912.054780460000         19          1         No      xaacx
 -1912.054783460000         19          2        Yes      xaacy
 -1912.054771520000         20          1         No      xaacz
 -1912.054774360000         20          2         No      xaada
 -1912.054774310000         20          3        Yes      xaadb
 -1912.054762030000         21          1         No      xaadc
 -1912.054764680000         21          2         No      xaadd
 -1912.054764760000         21          3         No      xaade
 -1912.054764710000         21          4         No      xaadf
 -1912.054764700000         21          5        Yes      xaadg
 -1912.054752000000         22          1         No      xaadh
 -1912.054754470000         22          2         No      xaadi
 -1912.054754340000         22          3         No      xaadj
 -1912.054754470000         22          4         No      xaadk
 -1912.054754470000         22          5        Yes      xaadl
 -1912.054741350000         23          1         No      xaadm
 -1912.054743780000         23          2         No      xaadn
 -1912.054743180000         23          3         No      xaado
 -1912.054743760000         23          4        Yes      xaadp
 -1912.054730240000         24          1         No      xaadq
 -1912.054732620000         24          2         No      xaadr
 -1912.054732510000         24          3         No      xaads
 -1912.054732610000         24          4        Yes      xaadt
 -1912.054718650000         25          1         No      xaadu
 -1912.054721100000         25          2         No      xaadv
 -1912.054709970000         25          3         No      xaadw
 -1912.054721060000         25          4        Yes      xaadx
 -1912.054706730000         26          1         No      xaady
 -1912.054709260000         26          2         No      xaadz
 -1912.054709300000         26          3         No      xaaea
 -1912.054709280000         26          4         No      xaaeb
 -1912.054709270000         26          5         No      xaaec
 -1912.054709270000         26          6         No      xaaed
 -1912.054709270000         26          7         No      xaaee
 -1912.054709280000         26          8        Yes      xaaef
 -1912.054694590000         27          1         No      xaaeg
 -1912.054697300000         27          2         No      xaaeh
 -1912.054696420000         27          3         No      xaaei
 -1912.054697280000         27          4        Yes      xaaej
 -1912.054682290000         28          1         No      xaaek
 -1912.054685210000         28          2         No      xaael
 -1912.054685170000         28          3         No      xaaem
 -1912.054685200000         28          4        Yes      xaaen
 -1912.054669850000         29          1         No      xaaeo
 -1912.054673060000         29          2         No      xaaep
 -1912.054673030000         29          3        Yes      xaaeq
 -1912.054657350000         30          1         No      xaaer
 -1912.054660870000         30          2         No      xaaes
 -1912.054660880000         30          3        Yes      xaaet
 -1912.054644740000         31          1         No      xaaeu
 -1912.054648610000         31          2         No      xaaev
 -1912.054648620000         31          3        Yes      xaaew
 -1912.054631910000         32          1         No      xaaex
 -1912.054636100000         32          2         No      xaaey
 -1912.054636120000         32          3        Yes      xaaez
 -1912.054618770000         33          1         No      xaafa
 -1912.054623250000         33          2         No      xaafb
 -1912.054623260000         33          3        Yes      xaafc
 -1912.054605090000         34          1         No      xaafd
 -1912.054609770000         34          2         No      xaafe
 -1912.054609780000         34          3        Yes      xaaff
 -1912.054590720000         35          1         No      xaafg
 -1912.054595540000         35          2         No      xaafh
 -1912.054595550000         35          3        Yes      xaafi
 -1912.054575430000         36          1         No      xaafj
 -1912.054580280000         36          2         No      xaafk
 -1912.054580280000         36          3        Yes      xaafl
 -1912.054559010000         37          1         No      xaafm
 -1912.054563760000         37          2         No      xaafn
