    
-1912.05487210 1 423  1
-1912.05487079 2 423  1
-1912.05487165 3 423  1
-1912.05487200 4 423  1
-1912.05487125 5 423  1
-1912.05487209 6 423  1
-1912.05487212 7 423  1
-1912.05487212 8 423  1
-1912.05487213 9 423  1
-1912.05486878 1 423  2
-1912.05486602 2 423  2
-1912.05486551 3 423  2
-1912.05487135 4 423  2
-1912.05487155 5 423  2
-1912.05487159 6 423  2
-1912.05487162 7 423  2
-1912.05487164 8 423  2
-1912.05486750 1 423  3
-1912.05487044 2 423  3
-1912.05487045 3 423  3
-1912.05486558 1 423  4
-1912.05486860 2 423  4
-1912.05486862 3 423  4
-1912.05486863 4 423  4
-1912.05486865 5 423  4
-1912.05486867 6 423  4
-1912.05486866 7 423  4
-1912.05486868 8 423  4
-1912.05486312 1 423  5
-1912.05486619 2 423  5
-1912.05486623 3 423  5
-1912.05486626 4 423  5
-1912.05486010 1 423  6
-1912.05486327 2 423  6
-1912.05486327 3 423  6
-1912.05485645 1 423  7
-1912.05485969 2 423  7
-1912.05485226 1 423  8
-1912.05485555 2 423  8
-1912.05485554 3 423  8
-1912.05485554 4 423  8
-1912.05485552 5 423  8
-1912.05484755 1 423  9
-1912.05485084 2 423  9
-1912.05485087 3 423  9
-1912.05484238 1 423  10
-1912.05484574 2 423  10
-1912.05484575 3 423  10
-1912.05484575 4 423  10
-1912.05483683 1 423  11
-1912.05484021 2 423  11
-1912.05484023 3 423  11
-1912.05483089 1 423  12
-1912.05483435 2 423  12
-1912.05483435 3 423  12
-1912.05482469 1 423  13
-1912.05482813 2 423  13
-1912.05482815 3 423  13
-1912.05481813 1 423  14
-1912.05482162 2 423  14
-1912.05482164 3 423  14
-1912.05481135 1 423  15
-1912.05481478 2 423  15
-1912.05481480 3 423  15
-1912.05480419 1 423  16
-1912.05480759 2 423  16
-1912.05480761 3 423  16
-1912.05480762 4 423  16
-1912.05479677 1 423  17
-1912.05480003 2 423  17
-1912.05480005 3 423  17
-1912.05480006 4 423  17
-1912.05478885 1 423  18
-1912.05479199 2 423  18
-1912.05479202 3 423  18
-1912.05478046 1 423  19
-1912.05478346 2 423  19
-1912.05477152 1 423  20
-1912.05477436 2 423  20
-1912.05477431 3 423  20
-1912.05476203 1 423  21
-1912.05476468 2 423  21
-1912.05476476 3 423  21
-1912.05476471 4 423  21
-1912.05476470 5 423  21
-1912.05475200 1 423  22
-1912.05475447 2 423  22
-1912.05475434 3 423  22
-1912.05475447 4 423  22
-1912.05475447 5 423  22
-1912.05474135 1 423  23
-1912.05474378 2 423  23
-1912.05474318 3 423  23
-1912.05474376 4 423  23
-1912.05473024 1 423  24
-1912.05473262 2 423  24
-1912.05473251 3 423  24
-1912.05473261 4 423  24
-1912.05471865 1 423  25
-1912.05472110 2 423  25
-1912.05470997 3 423  25
-1912.05472106 4 423  25
-1912.05470673 1 423  26
-1912.05470926 2 423  26
-1912.05470930 3 423  26
-1912.05470928 4 423  26
-1912.05470927 5 423  26
-1912.05470927 6 423  26
-1912.05470927 7 423  26
-1912.05470928 8 423  26
-1912.05469459 1 423  27
-1912.05469730 2 423  27
-1912.05469642 3 423  27
-1912.05469728 4 423  27
-1912.05468229 1 423  28
-1912.05468521 2 423  28
-1912.05468517 3 423  28
-1912.05468520 4 423  28
-1912.05466985 1 423  29
-1912.05467306 2 423  29
-1912.05467303 3 423  29
-1912.05465735 1 423  30
-1912.05466087 2 423  30
-1912.05466088 3 423  30
-1912.05464474 1 423  31
-1912.05464861 2 423  31
-1912.05464862 3 423  31
-1912.05463191 1 423  32
-1912.05463610 2 423  32
-1912.05463612 3 423  32
-1912.05461877 1 423  33
-1912.05462325 2 423  33
-1912.05462326 3 423  33
-1912.05460509 1 423  34
-1912.05460977 2 423  34
-1912.05460978 3 423  34
-1912.05459072 1 423  35
-1912.05459554 2 423  35
-1912.05459555 3 423  35
-1912.05457543 1 423  36
-1912.05458028 2 423  36
-1912.05458028 3 423  36
-1912.05455901 1 423  37
-1912.05456376 2 423  37
-1912.05456379 3 423  37
-1912.05454118 1 423  38
-1912.05454580 2 423  38
-1912.05454580 3 423  38
-1912.05452174 1 423  39
-1912.05452617 2 423  39
-1912.05452618 3 423  39
-1912.05450048 1 423  40
-1912.05450469 2 423  40
-1912.05450469 3 423  40
-1912.05447718 1 423  41
-1912.05448110 2 423  41
-1912.05445160 1 423  42
-1912.05445524 2 423  42
-1912.05442359 1 423  43
-1912.05442694 2 423  43
-1912.05439298 1 423  44
-1912.05439601 2 423  44
-1912.05435958 1 423  45
-1912.05436234 2 423  45
-1912.05436232 3 423  45
-1912.05436233 4 423  45
-1912.05432332 1 423  46
-1912.05432580 2 423  46
-1912.05432581 3 423  46
-1912.05432582 4 423  46
-1912.05428389 1 423  47
-1912.05428625 2 423  47
-1912.05428623 3 423  47
-1912.05424130 1 423  48
-1912.05424355 2 423  48
-1912.05424354 3 423  48
-1912.05419543 1 423  49
-1912.05419757 2 423  49
-1912.05419736 3 423  49
-1912.05419757 4 423  49
-1912.05414614 1 423  50
-1912.05414826 2 423  50
-1912.05414760 3 423  50
-1912.05414824 4 423  50
-1912.05409332 1 423  51
-1912.05409544 2 423  51
-1912.05409480 3 423  51
-1912.05409543 4 423  51
-1912.05403683 1 423  52
-1912.05403899 2 423  52
-1912.05403881 3 423  52
-1912.05403901 4 423  52
-1912.05397664 1 423  53
-1912.05397891 2 423  53
-1912.05397888 3 423  53
-1912.05397895 4 423  53
-1912.05391280 1 423  54
-1912.05391522 2 423  54
-1912.05391527 3 423  54
-1912.05391528 4 423  54
-1912.05384527 1 423  55
-1912.05384777 2 423  55
-1912.05384783 3 423  55
-1912.05377372 1 423  56
-1912.05377627 2 423  56
-1912.05377627 3 423  56
-1912.05377628 4 423  56
-1912.05369791 1 423  57
-1912.05370041 2 423  57
-1912.05370065 3 423  57
-1912.05370073 4 423  57
-1912.05370090 5 423  57
-1912.05370136 6 423  57
-1912.05370211 7 423  57
-1912.05370139 8 423  57
-1912.05370154 9 423  57
-1912.05370223 10 423  57
-1912.05370173 11 423  57
-1912.05370169 12 423  57
-1912.05370216 13 423  57
-1912.05370192 14 423  57
-1912.05370214 15 423  57
-1912.05362168 1 423  58
-1912.05362459 2 423  58
-1912.05362396 3 423  58
-1912.05362426 4 423  58
-1912.05362457 5 423  58
-1912.05362429 6 423  58
-1912.05353964 1 423  59
-1912.05354189 2 423  59
-1912.05354209 3 423  59
-1912.05354237 4 423  59
-1912.05354245 5 423  59
-1912.05345412 1 423  60
-1912.05345547 2 423  60
-1912.05345513 3 423  60
-1912.05345622 4 423  60
-1912.05345628 5 423  60
-1912.05345634 6 423  60
-1912.05336350 1 423  61
-1912.05336502 2 423  61
-1912.05336425 3 423  61
-1912.05336492 4 423  61
-1912.05336495 5 423  61
-1912.05326691 1 423  62
-1912.05326818 2 423  62
-1912.05326780 3 423  62
-1912.05326818 4 423  62
-1912.05316458 1 423  63
-1912.05316590 2 423  63
-1912.05316468 3 423  63
-1912.05316587 4 423  63
-1912.05305647 1 423  64
-1912.05305785 2 423  64
-1912.05305573 3 423  64
-1912.05305783 4 423  64
-1912.05294241 1 423  65
-1912.05294389 2 423  65
-1912.05294029 3 423  65
-1912.05294389 4 423  65
-1912.05282227 1 423  66
-1912.05282389 2 423  66
-1912.05281677 3 423  66
-1912.05282390 4 423  66
-1912.05269593 1 423  67
-1912.05269771 2 423  67
-1912.05268627 3 423  67
-1912.05269770 4 423  67
-1912.05256325 1 423  68
-1912.05256519 2 423  68
-1912.05254874 3 423  68
-1912.05256519 4 423  68
-1912.05256519 5 423  68
