 ___energy_hartree  E_kj/mol      step
 -1912.065225060000   -27.182       199
 -1912.065896870000   -28.945       200
 -1912.066537840000   -30.628       201
 -1912.067145400000   -32.223       202
 -1912.067717070000   -33.724       203
 -1912.068249900000   -35.123       204
 -1912.068739990000   -36.410       205
 -1912.069183730000   -37.575       206
 -1912.069578080000   -38.610       207
 -1912.069918960000   -39.505       208
 -1912.070201510000   -40.247       209
 -1912.070421520000   -40.825       210
 -1912.070574880000   -41.228       211
 -1912.070656110000   -41.441       212
 -1912.070660070000   -41.451       213


