 Table written by www.YASARA.org, no header provided
 -1912.070667990000          1          1         No      xaaaa
 -1912.070667240000          1          2         No      xaaab
 -1912.061138240000          1          3         No      xaaac
 -1912.070633440000          1          4         No      xaaad
 -1912.064814660000          1          5         No      xaaae
 -1912.043445250000          1          6         No      xaaaf
 -1912.067114140000          1          7         No      xaaag
 -1912.070667990000          1          8        Yes      xaaah
 -1912.070615150000          2          1         No      xaaai
 -1912.070598100000          2          2         No      xaaaj
 -1912.070561470000          2          3         No      xaaak
 -1912.070611700000          2          4         No      xaaal
 -1912.070620490000          2          5         No      xaaam
 -1912.070604410000          2          6         No      xaaan
 -1912.070625850000          2          7         No      xaaao
 -1912.070624680000          2          8         No      xaaap
 -1912.070625590000          2          9         No      xaaaq
 -1912.070626730000          2         10         No      xaaar
 -1912.070627070000          2         11         No      xaaas
 -1912.070627430000          2         12         No      xaaat
 -1912.070627470000          2         13         No      xaaau
 -1912.070627590000          2         14         No      xaaav
 -1912.070627630000          2         15         No      xaaaw
 -1912.070627750000          2         16         No      xaaax
 -1912.070627890000          2         17         No      xaaay
 -1912.070627980000          2         18         No      xaaaz
 -1912.070628150000          2         19         No      xaaba
 -1912.070628280000          2         20         No      xaabb
 -1912.070628450000          2         21         No      xaabc
 -1912.070628570000          2         22         No      xaabd
 -1912.070628650000          2         23         No      xaabe
 -1912.070628710000          2         24         No      xaabf
 -1912.070628740000          2         25         No      xaabg
 -1912.070628770000          2         26         No      xaabh
 -1912.070628790000          2         27         No      xaabi
 -1912.070628810000          2         28        Yes      xaabj
 -1912.070500870000          3          1         No      xaabk
 -1912.070514100000          3          2         No      xaabl
 -1912.070514210000          3          3         No      xaabm
 -1912.070514260000          3          4         No      xaabn
 -1912.070514270000          3          5         No      xaabo
 -1912.070514290000          3          6        Yes      xaabp
 -1912.070316480000          4          1         No      xaabq
 -1912.070330190000          4          2         No      xaabr
 -1912.070330290000          4          3         No      xaabs
 -1912.070330320000          4          4         No      xaabt
 -1912.070330340000          4          5        Yes      xaabu
 -1912.070068240000          5          1         No      xaabv
 -1912.070081530000          5          2         No      xaabw
 -1912.070081640000          5          3         No      xaabx
 -1912.070081670000          5          4        Yes      xaaby
 -1912.069759050000          6          1         No      xaabz
 -1912.069772180000          6          2         No      xaaca
 -1912.069772220000          6          3         No      xaacb
 -1912.069772230000          6          4        Yes      xaacc
 -1912.069393350000          7          1         No      xaacd
 -1912.069406170000          7          2         No      xaace
 -1912.069406460000          7          3         No      xaacf
 -1912.069406550000          7          4         No      xaacg
 -1912.069406590000          7          5         No      xaach
 -1912.069406610000          7          6        Yes      xaaci
 -1912.068976140000          8          1         No      xaacj
 -1912.068989540000          8          2         No      xaack
 -1912.068989600000          8          3         No      xaacl
 -1912.068989610000          8          4        Yes      xaacm
 -1912.068511800000          9          1         No      xaacn
 -1912.068524430000          9          2         No      xaaco
 -1912.068524540000          9          3        Yes      xaacp
 -1912.068002060000         10          1         No      xaacq
 -1912.068014590000         10          2         No      xaacr
 -1912.068014680000         10          3         No      xaacs
 -1912.068014730000         10          4         No      xaact
 -1912.068014760000         10          5         No      xaacu
 -1912.068014770000         10          6         No      xaacv
 -1912.068014780000         10          7         No      xaacw
 -1912.068014770000         10          8        Yes      xaacx
 -1912.067451180000         11          1         No      xaacy
 -1912.067463740000         11          2         No      xaacz
 -1912.067463870000         11          3         No      xaada
 -1912.067463920000         11          4         No      xaadb
 -1912.067463920000         11          5         No      xaadc
 -1912.067463930000         11          6        Yes      xaadd
 -1912.066863150000         12          1         No      xaade
 -1912.066875550000         12          2         No      xaadf
 -1912.066875710000         12          3         No      xaadg
 -1912.066875760000         12          4        Yes      xaadh
 -1912.066240950000         13          1         No      xaadi
 -1912.066252890000         13          2         No      xaadj
 -1912.066252890000         13          3         No      xaadk
 -1912.066252910000         13          4        Yes      xaadl
 -1912.065586110000         14          1         No      xaadm
 -1912.065597730000         14          2         No      xaadn
 -1912.065597730000         14          3        Yes      xaado
 -1912.064901520000         15          1         No      xaadp
 -1912.064912830000         15          2         No      xaadq
 -1912.064912860000         15          3        Yes      xaadr
 -1912.064189640000         16          1         No      xaads
 -1912.064200910000         16          2         No      xaadt
 -1912.064201030000         16          3         No      xaadu
 -1912.064201070000         16          4        Yes      xaadv
 -1912.063453610000         17          1         No      xaadw
 -1912.063464930000         17          2         No      xaadx
 -1912.063464940000         17          3        Yes      xaady
 -1912.062695620000         18          1         No      xaadz
 -1912.062706900000         18          2         No      xaaea
 -1912.062706920000         18          3        Yes      xaaeb
 -1912.061918060000         19          1         No      xaaec
 -1912.061929390000         19          2         No      xaaed
 -1912.061929420000         19          3        Yes      xaaee
 -1912.061123460000         20          1         No      xaaef
 -1912.061134660000         20          2         No      xaaeg
 -1912.061134780000         20          3         No      xaaeh
 -1912.061134800000         20          4        Yes      xaaei
 -1912.060313820000         21          1         No      xaaej
 -1912.060325120000         21          2         No      xaaek
 -1912.060325160000         21          3        Yes      xaael
 -1912.059491370000         22          1         No      xaaem
 -1912.059502380000         22          2         No      xaaen
 -1912.059502510000         22          3        Yes      xaaeo
 -1912.058657460000         23          1         No      xaaep
 -1912.058668530000         23          2         No      xaaeq
 -1912.058668600000         23          3         No      xaaer
 -1912.058668640000         23          4        Yes      xaaes
 -1912.057814280000         24          1         No      xaaet
 -1912.057825090000         24          2         No      xaaeu
 -1912.057825180000         24          3         No      xaaev
 -1912.057825180000         24          4        Yes      xaaew
 -1912.056962820000         25          1         No      xaaex
 -1912.056973640000         25          2         No      xaaey
 -1912.056973660000         25          3        Yes      xaaez
 -1912.056104810000         26          1         No      xaafa
 -1912.056115590000         26          2         No      xaafb
 -1912.056115590000         26          3        Yes      xaafc
 -1912.055241630000         27          1         No      xaafd
 -1912.055252350000         27          2         No      xaafe
 -1912.055252390000         27          3        Yes      xaaff
 -1912.054374680000         28          1         No      xaafg
 -1912.054385430000         28          2         No      xaafh
 -1912.054385430000         28          3        Yes      xaafi
 -1912.053505320000         29          1         No      xaafj
 -1912.053515990000         29          2        Yes      xaafk
 -1912.052634760000         30          1         No      xaafl
 -1912.052645540000         30          2         No      xaafm
 -1912.052645550000         30          3        Yes      xaafn
