 __geometry  E_kJ_mol    name
     1.598    15.110    rev_15
     1.608    16.979    rev_16
     1.618    18.912    rev_17
     1.628    20.902    rev_18
     1.638    22.943    rev_19
     1.648    25.029    rev_20
     1.658    27.155    rev_21
     1.668    29.315    rev_22
     1.678    31.504    rev_23
     1.688    33.719    rev_24
     1.698    35.954    rev_25
     1.708    38.207    rev_26
     1.718    40.474    rev_27
     1.728    42.750    rev_28
     1.738    45.033    rev_29
     1.748    47.318    rev_30
     1.758    49.603    rev_31
     1.768    51.885    rev_32
     1.778    54.159    rev_33
     1.788    56.425    rev_34
     1.798    58.680    rev_35
     1.808    60.922    rev_36
     1.818    63.150    rev_37
     1.828    65.361    rev_38
     1.838    67.555    rev_39
     1.848    69.730    rev_40
     1.858    71.884    rev_41
     1.868    74.015    rev_42
     1.878    76.122    rev_43
     1.888    78.204    rev_44
     1.898    80.258    rev_45
     1.908    82.284    rev_46
     1.918    84.282    rev_47
     1.928    86.249    rev_48
     1.938    88.187    rev_49
     1.948    90.093    rev_50
     1.958    91.967    rev_51
     1.968    93.807    rev_52
     1.978    95.610    rev_53
     1.988    97.376    rev_54
     1.998    99.099    rev_55
     2.008   100.775    rev_56
     2.018   102.412    rev_57
     2.028   104.004    rev_58
     2.038   105.543    rev_59
     2.048   107.041    rev_60
     2.058   108.497    rev_61
     2.068   109.912    rev_62
     2.078   111.286    rev_63
     2.088   112.621    rev_64
     2.098   113.915    rev_65
     2.108   115.166    rev_66
     2.118   116.371    rev_67
     2.128   117.521    rev_68
     2.138   115.758    rev_69
     2.148   116.219    rev_70
     2.158   116.644    rev_71
     2.168   117.036    rev_72
     2.178   117.396    rev_73
     2.188   117.724    rev_74
     2.198   118.021    rev_75
     2.208   118.286    rev_76
     2.218   118.517    rev_77
     2.228   118.713    rev_78
     2.238   118.866    rev_79
     2.248   102.253    rev_80
     2.258   100.680    rev_81
     2.268    99.133    rev_82
     2.278    97.612    rev_83
     2.288    96.118    rev_84
     2.298    94.652    rev_85
     2.308    93.214    rev_86
     2.318    91.804    rev_87
     2.328    90.423    rev_88
     2.338    89.071    rev_89
     2.348    87.747    rev_90
     2.358    86.452    rev_91
     2.368    85.185    rev_92
     2.378    83.946    rev_93
     2.388    82.735    rev_94
     2.398    81.552    rev_95
     2.408    80.396    rev_96
     2.418    79.267    rev_97
     2.428    78.165    rev_98
     2.438    77.088    rev_99
     2.448    76.038   rev_100
     2.458    75.013   rev_101
     2.468    74.013   rev_102
     2.478    73.037   rev_103
     2.488    72.086   rev_104
     2.498    71.159   rev_105
     2.508    70.255   rev_106
     2.518    69.375   rev_107
     2.528    68.517   rev_108
     2.538    67.681   rev_109
     2.548    66.867   rev_110
     2.558    66.075   rev_111
     2.568    65.304   rev_112
     2.578    64.553   rev_113
     2.588    63.822   rev_114
     2.598    63.111   rev_115
     2.608    62.418   rev_116
     2.618    61.744   rev_117
     2.628    61.088   rev_118
     2.638    60.449   rev_119
     2.648    59.827   rev_120
     2.658    59.221   rev_121
     2.668    58.631   rev_122
     2.678    58.056   rev_123
     2.688    57.495   rev_124
     2.698    56.948   rev_125
     2.708    56.414   rev_126
     2.718    55.893   rev_127
     2.728    55.383   rev_128
     2.738    54.884   rev_129
     2.748    54.396   rev_130
     2.758    53.916   rev_131
     2.768    53.442   rev_132
     2.778    52.973   rev_133
     2.788    52.507   rev_134
     2.798    52.044   rev_135
     2.808    51.584   rev_136
     2.818    51.093   rev_137
     2.828    50.646   rev_138
     2.838    50.177   rev_139
     2.848    49.738   rev_140
     2.858    49.312   rev_141
     2.868    48.897   rev_142
     2.878    48.491   rev_143
     2.888    48.101   rev_144
     2.898    47.727   rev_145
     2.908    47.370   rev_146
     2.918    47.030   rev_147
     2.928    46.706   rev_148
     2.938    46.398   rev_149
     2.948    46.106   rev_150
     2.958    45.829   rev_151
     2.968    45.567   rev_152
     2.978    45.319   rev_153
     2.988    45.085   rev_154
     2.998    44.865   rev_155
     3.008    44.654   rev_156
     3.018    44.456   rev_157
     3.028    44.263   rev_158
     3.038    44.080   rev_159
     3.048    43.907   rev_160
