 ___energy_hartree  E_kj/mol      step
 -1912.039674040000    81.375   frw_168
 -1912.040450640000    79.336   frw_169
 -1912.041237880000    77.269   frw_170
 -1912.042035230000    75.175   frw_171
 -1912.042842060000    73.057   frw_172
 -1912.043657790000    70.915   frw_173
 -1912.044481790000    68.752   frw_174
 -1912.045313450000    66.568   frw_175
 -1912.046152170000    64.366   frw_176
 -1912.046997340000    62.147   frw_177
 -1912.047848340000    59.913   frw_178
 -1912.048704540000    57.665   frw_179
 -1912.049565320000    55.405   frw_180
 -1912.050429980000    53.135   frw_181
 -1912.051297710000    50.857   frw_182
 -1912.052167460000    48.573   frw_183
 -1912.053038030000    46.287   frw_184
 -1912.053908170000    44.003   frw_185
 -1912.054776630000    41.723   frw_186
 -1912.055642060000    39.451   frw_187
 -1912.056503130000    37.190   frw_188
 -1912.057358420000    34.944   frw_189
 -1912.058206490000    32.718   frw_190
 -1912.059045840000    30.514   frw_191
 -1912.059874870000    28.337   frw_192
 -1912.060691870000    26.192   frw_193
 -1912.061495000000    24.084   frw_194
 -1912.062282190000    22.017   frw_195
 -1912.063051180000    19.998   frw_196
 -1912.063799630000    18.033   frw_197
 -1912.064525100000    16.128   frw_198
 -1912.065225060000    14.290   frw_199
 -1912.065896870000    12.527   frw_200
 -1912.066537840000    10.844   frw_201
 -1912.067145400000     9.249   frw_202
 -1912.067717070000     7.748   frw_203
 -1912.068249900000     6.349   frw_204
 -1912.068739990000     5.062   frw_205
 -1912.069183730000     3.897   frw_206
 -1912.069578080000     2.862   frw_207
 -1912.069918960000     1.967   frw_208
 -1912.070201510000     1.225   frw_209
 -1912.070421520000     0.647   frw_210
 -1912.070574880000     0.244   frw_211
 -1912.070656110000     0.031   frw_212
 -1912.070660070000     0.021   frw_213
 -1912.070667990000     0.000     rev_1
 -1912.070628810000     0.103     rev_2
 -1912.070514290000     0.404     rev_3
 -1912.070330340000     0.887     rev_4
 -1912.070081670000     1.539     rev_5
 -1912.069772230000     2.352     rev_6
 -1912.069406610000     3.312     rev_7
 -1912.068989610000     4.407     rev_8
 -1912.068524540000     5.628     rev_9
 -1912.068014770000     6.966    rev_10
 -1912.067463930000     8.412    rev_11
 -1912.066875760000     9.957    rev_12
 -1912.066252910000    11.592    rev_13
 -1912.065597730000    13.312    rev_14
 -1912.064912860000    15.110    rev_15
 -1912.064201070000    16.979    rev_16
 -1912.063464940000    18.912    rev_17
 -1912.062706920000    20.902    rev_18
 -1912.061929420000    22.943    rev_19
 -1912.061134800000    25.029    rev_20
 -1912.060325160000    27.155    rev_21
 -1912.059502510000    29.315    rev_22
 -1912.058668640000    31.504    rev_23
 -1912.057825180000    33.719    rev_24
 -1912.056973660000    35.954    rev_25
 -1912.056115590000    38.207    rev_26
 -1912.055252390000    40.474    rev_27
 -1912.054385430000    42.750    rev_28
 -1912.053515990000    45.033    rev_29
 -1912.052645550000    47.318    rev_30
 -1912.051775200000    49.603    rev_31
 -1912.050906220000    51.885    rev_32
 -1912.050039770000    54.159    rev_33
 -1912.049176760000    56.425    rev_34
 -1912.048317950000    58.680    rev_35
 -1912.047464030000    60.922    rev_36
 -1912.046615590000    63.150    rev_37
 -1912.045773240000    65.361    rev_38
 -1912.044937630000    67.555    rev_39
 -1912.044109350000    69.730    rev_40
 -1912.043289000000    71.884    rev_41
 -1912.042477210000    74.015    rev_42
 -1912.041674580000    76.122    rev_43
 -1912.040881730000    78.204    rev_44
 -1912.040099220000    80.258    rev_45
 -1912.039327490000    82.284    rev_46
 -1912.038566800000    84.282    rev_47
 -1912.037817380000    86.249    rev_48
 -1912.037079500000    88.187    rev_49
 -1912.036353490000    90.093    rev_50
 -1912.035639790000    91.967    rev_51
 -1912.034938980000    93.807    rev_52
 -1912.034251960000    95.610    rev_53
 -1912.033579340000    97.376    rev_54
 -1912.032923160000    99.099    rev_55
 -1912.032284740000   100.775    rev_56
 -1912.031661290000   102.412    rev_57
 -1912.031055100000   104.004    rev_58
 -1912.030468680000   105.543    rev_59
 -1912.029898340000   107.041    rev_60
 -1912.029343710000   108.497    rev_61
 -1912.028804730000   109.912    rev_62
 -1912.028281220000   111.286    rev_63
 -1912.027772970000   112.621    rev_64
 -1912.027280240000   113.915    rev_65
 -1912.026803660000   115.166    rev_66
 -1912.026344530000   116.371    rev_67
 -1912.025906490000   117.521    rev_68
 -1912.026578150000   115.758    rev_69
 -1912.026402540000   116.219    rev_70
 -1912.026240540000   116.644    rev_71
 -1912.026091270000   117.036    rev_72
 -1912.025954310000   117.396    rev_73
 -1912.025829290000   117.724    rev_74
 -1912.025716260000   118.021    rev_75
 -1912.025615400000   118.286    rev_76
 -1912.025527250000   118.517    rev_77
 -1912.025452710000   118.713    rev_78
 -1912.025394210000   118.866    rev_79
 -1912.031721880000   102.253    rev_80
 -1912.032320890000   100.680    rev_81
 -1912.032910230000    99.133    rev_82
 -1912.033489530000    97.612    rev_83
 -1912.034058430000    96.118    rev_84
 -1912.034616900000    94.652    rev_85
 -1912.035164600000    93.214    rev_86
 -1912.035701570000    91.804    rev_87
 -1912.036227600000    90.423    rev_88
 -1912.036742720000    89.071    rev_89
 -1912.037246900000    87.747    rev_90
 -1912.037740200000    86.452    rev_91
 -1912.038222730000    85.185    rev_92
 -1912.038694470000    83.946    rev_93
 -1912.039155720000    82.735    rev_94
 -1912.039606320000    81.552    rev_95
 -1912.040046660000    80.396    rev_96
 -1912.040476680000    79.267    rev_97
 -1912.040896590000    78.165    rev_98
 -1912.041306590000    77.088    rev_99
 -1912.041706710000    76.038   rev_100
 -1912.042097170000    75.013   rev_101
 -1912.042478070000    74.013   rev_102
 -1912.042849570000    73.037   rev_103
 -1912.043211820000    72.086   rev_104
 -1912.043564960000    71.159   rev_105
 -1912.043909150000    70.255   rev_106
 -1912.044244540000    69.375   rev_107
 -1912.044571300000    68.517   rev_108
 -1912.044889580000    67.681   rev_109
 -1912.045199530000    66.867   rev_110
 -1912.045501330000    66.075   rev_111
 -1912.045795130000    65.304   rev_112
 -1912.046081130000    64.553   rev_113
 -1912.046359500000    63.822   rev_114
 -1912.046630440000    63.111   rev_115
 -1912.046894160000    62.418   rev_116
 -1912.047150860000    61.744   rev_117
 -1912.047400760000    61.088   rev_118
 -1912.047644090000    60.449   rev_119
 -1912.047881040000    59.827   rev_120
 -1912.048111820000    59.221   rev_121
 -1912.048336650000    58.631   rev_122
 -1912.048555740000    58.056   rev_123
 -1912.048769260000    57.495   rev_124
 -1912.048977660000    56.948   rev_125
 -1912.049181000000    56.414   rev_126
 -1912.049379580000    55.893   rev_127
 -1912.049573710000    55.383   rev_128
 -1912.049763640000    54.884   rev_129
 -1912.049949780000    54.396   rev_130
 -1912.050132660000    53.916   rev_131
